ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,s1,A1,A2,A3,B4,B5,B6,C7,C8,C9,D10,D11,D12,E13,E14,F15,F16,G17,G18,H19,H20,I21,I22,J23,J24
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new,new
SCPECOMP00 [SER.COMPUTERS: .00.]; SCPECOMP01 [SER.COMPUTERS: .01.],UK,2010,1110.59896698245,1,0.0,1,0,1,100000000.0,100,100000000.0,5.0,1.0,1,0.6,0.1,ELC,SER.COMPUTING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCKELC000 [SER.COOKING: .00.ELC.]; SCKELC001 [SER.COOKING: .01.ELC.],UK,2010,117.017780168132,1,5.85088900840658,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.9,0.1,ELC,SER.COOKING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLBLCRP01 [SER.HEAT.LOW-CONSUMPTION: .01.PELH.BOILER.CON.RADIATOR.],UK,2010,12.0881910256708,1,1.20881910256708,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,PELLETS,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHNAGHBRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.RADIATOR.],UK,2010,14.48745633,1,0.86924738,1,0,1,100000000.0,100,100000000,20,1,1,0.84,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,0,0,0,0,0.170633091,0.233977656,0,0,0.198155701,0,0,0,0,0,0,0.244121298,0.153112254,0,0,0,0,0,0,0,0
RHNAGHHRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.RADIATOR.],UK,2010,14.48745633,1,0.86924738,1,0,1,100000000.0,100,100000000,20,1,1,3.266,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,0,0,0,0,0.170633091,0.233977656,0,0,0.198155701,0,0,0,0,0,0,0.244121298,0.153112254,0,0,0,0,0,0,0,0
SHLBLSRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,15.6390132247701,1,1.56390132247701,1,0,1,100000000.0,100,100000000.0,19.0,1.0,1,0.95,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,152.7777778,1,6.944444444,1,0,1,2.0,100,100000000,15,1,1,0.858325268,0.1,ELC,RES.FREEZERS,0,0.015237743,0.015832359,0.019555659,0.0077566,0.030324207,0.016827091,0.02027809,0.009007716,0.018544255,0.021567352,0.01379288,0.021961911,0.028202605,0.022617656,0.031638854,0.006960142,0.027124927,0.024334751,0.022555841,0.017466165,0.022617656,0.026029754,0.025185066,0.03458072
RECOLFRE01 [RES.FREEZERS: .01.CLASS-A+.],UK,2010,152.7777778,1,7.638888889,1,0,1,100000000.0,100,100000000,15,1,1,1.041905175,0.1,ELC,RES.FREEZERS,0,0.015237743,0.015832359,0.019555659,0.0077566,0.030324207,0.016827091,0.02027809,0.009007716,0.018544255,0.021567352,0.01379288,0.021961911,0.028202605,0.022617656,0.031638854,0.006960142,0.027124927,0.024334751,0.022555841,0.017466165,0.022617656,0.026029754,0.025185066,0.03458072
SHLNSTRE00 [SER.HEAT.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,2010,16.944117689746,1,0.778756137528725,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.8,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLNSTRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.NIGHT-STORAGE.],UK,2010,16.944117689746,1,1.6944117689746,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.9,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
