commodity,consumption,period,region,season,timeslice,units_prices,year
lfo,0.21870000000,Evening,UK,S,11,19.7944343,2010
wood,0.90800000000,Evening,UK,S,11,10.019,2010
ser.cooling.high-consumption,5.10960000000,Evening,UK,S,11,0,2010
ser.cooking,3.05900000000,Evening,UK,S,11,0,2010
ser.computing,0.31890000000,Evening,UK,S,11,0,2010
ser.space-heat.low-consumption,0.38200000000,Evening,UK,S,11,0,2010
ser.lighting.office,7.87800000000,Evening,UK,S,11,0,2010
ser.lighting.other,3.55660000000,Evening,UK,S,11,0,2010
ser.other,0.57580000000,Evening,UK,S,11,0,2010
ser.refrigeration,1.78200000000,Evening,UK,S,11,0,2010
ser.hot-water.high-consumption,1.27360000000,Evening,UK,S,11,0,2010
ser.hot-water.low-consumption,0.79780000000,Evening,UK,S,11,0,2010
res.cooking.other,1.73180000000,Evening,UK,S,11,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,S,11,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,S,11,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,S,11,0,2010
res.freezers,0.39520000000,Evening,UK,S,11,0,2010
res.computers,0.64340000000,Evening,UK,S,11,0,2010
res.refrigerators,0.90430000000,Evening,UK,S,11,0,2010
res.lighting,55.35940000000,Evening,UK,S,11,0,2010
res.other,0.73290000000,Evening,UK,S,11,0,2010
res.wet.appliances,1.38660000000,Evening,UK,S,11,0,2010
res.space-heat.existing-average,2.89460000000,Evening,UK,S,11,0,2010
res.space-heat.new-average,0.00310000000,Evening,UK,S,11,0,2010
res.hot-water.existing-average,10.19650000000,Evening,UK,S,11,0,2010
res.hot-water.new-average,0.04830000000,Evening,UK,S,11,0,2010
nga,71.51470000000,Night,UK,A,12,12.552,2010
bog,0.04300000000,Night,UK,A,12,0,2010
biomass,0.03610000000,Night,UK,A,12,10.019,2010
elc,262.99300000000,Night,UK,A,12,43.34267522,2010
oil,6.14760000000,Night,UK,A,12,19.7944343,2010
hco,41.18500000000,Night,UK,A,12,19.7944343,2010
lfo,8.40930000000,Night,UK,A,12,19.7944343,2010
wood,2.81270000000,Night,UK,A,12,10.019,2010
ser.cooling.high-consumption,2.99010000000,Night,UK,A,12,0,2010
ser.cooking,6.11790000000,Night,UK,A,12,0,2010
ser.computing,2.07290000000,Night,UK,A,12,0,2010
ser.space-heat.high-consumption,43.76070000000,Night,UK,A,12,0,2010
ser.space-heat.low-consumption,18.70700000000,Night,UK,A,12,0,2010
ser.lighting.office,26.58820000000,Night,UK,A,12,0,2010
ser.lighting.other,12.00350000000,Night,UK,A,12,0,2010
ser.other,1.91950000000,Night,UK,A,12,0,2010
ser.refrigeration,3.96000000000,Night,UK,A,12,0,2010
ser.hot-water.high-consumption,4.49860000000,Night,UK,A,12,0,2010
ser.hot-water.low-consumption,1.69770000000,Night,UK,A,12,0,2010
res.cooking.other,2.47400000000,Night,UK,A,12,0,2010
res.cooking.hobs,3.37500000000,Night,UK,A,12,0,2010
res.cooking.ovens,3.03750000000,Night,UK,A,12,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,A,12,0,2010
res.freezers,1.22960000000,Night,UK,A,12,0,2010
res.computers,1.96590000000,Night,UK,A,12,0,2010
res.refrigerators,2.81340000000,Night,UK,A,12,0,2010
res.lighting,20.75980000000,Night,UK,A,12,0,2010
res.other,2.44290000000,Night,UK,A,12,0,2010
res.wet.appliances,4.62210000000,Night,UK,A,12,0,2010
res.space-heat.existing-average,209.38010000000,Night,UK,A,12,0,2010
res.space-heat.new-average,0.22610000000,Night,UK,A,12,0,2010
res.hot-water.existing-average,23.27050000000,Night,UK,A,12,0,2010
res.hot-water.new-average,0.11020000000,Night,UK,A,12,0,2010
nga,143.12450000000,Day,UK,A,13,12.552,2010
bog,0.01780000000,Day,UK,A,13,0,2010
biomass,0.01500000000,Day,UK,A,13,10.019,2010
elc,109.25180000000,Day,UK,A,13,43.34267522,2010
oil,13.02300000000,Day,UK,A,13,19.7944343,2010
hco,12.66830000000,Day,UK,A,13,19.7944343,2010
lfo,4.72340000000,Day,UK,A,13,19.7944343,2010
wood,1.43260000000,Day,UK,A,13,10.019,2010
