ProcessName,RegionName,Time,Level,NGA,BOG,BIOMASS,ELC,OIL,HCO,LFO,WOOD,HYDROGEN,PELLETS,SOLAR,KEROSENE
Unit,-,year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
SHLBLSRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLSRG01 [SER.HEAT.LOW-CONSUMPTION: .01.NGA.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLSRH01 [SER.HEAT.LOW-CONSUMPTION: .01.HYG.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0
SHLBLSRO01 [SER.HEAT.LOW-CONSUMPTION: .01.OIL.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLBLSRP01 [SER.HEAT.LOW-CONSUMPTION: .01.PELH.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0
SHLBLSRW01 [SER.HEAT.LOW-CONSUMPTION: .01.WOD.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
SHLCHBRH01 [SER.HEAT.LOW-CONSUMPTION: .01.HYG.MICRO-CHP-BOILER.STD.RADIATOR.],UK,2010,fixed,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLCHPRG01 [SER.HEAT.LOW-CONSUMPTION: .01.GAS.MICRO-CHP.STD.RADIATOR.],UK,2010,fixed,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLCHPRH01 [SER.HEAT.LOW-CONSUMPTION: .01.HYG.MICRO-CHP.STD.RADIATOR.],UK,2010,fixed,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SHLCHPRW01 [SER.HEAT.LOW-CONSUMPTION: .01.WOD.MICRO-CHP.STD.RADIATOR.],UK,2010,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0
SHLCSV01 [SER.HEAT.LOW-CONSUMPTION: .01.CONSERVATION-MEASURES.],UK,2010,fixed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
