commodity,period,prices,region,season,timeslice,units_prices,year
biomass,Evening,11.84850000000,UK,W,3,10.019,2015
elc,Evening,45.82250000000,UK,W,3,43.34267522,2015
oil,Evening,19.79440000000,UK,W,3,19.7944343,2015
hco,Evening,17.90350000000,UK,W,3,19.7944343,2015
lfo,Evening,17.90350000000,UK,W,3,19.7944343,2015
wood,Evening,11.84850000000,UK,W,3,10.019,2015
hydrogen,Evening,105.01680000000,UK,W,3,105.016835,2015
pellets,Evening,17.93240000000,UK,W,3,20.58703511,2015
ser.cooking,Evening,0.82600000000,UK,W,3,0,2015
ser.computing,Evening,12.20720000000,UK,W,3,0,2015
ser.space-heat.high-consumption,Evening,3.63210000000,UK,W,3,0,2015
ser.space-heat.low-consumption,Evening,0.18110000000,UK,W,3,0,2015
ser.lighting.office,Evening,0.02260000000,UK,W,3,0,2015
ser.lighting.other,Evening,0.01440000000,UK,W,3,0,2015
ser.other,Evening,0.10490000000,UK,W,3,0,2015
ser.refrigeration,Evening,2.29750000000,UK,W,3,0,2015
ser.hot-water.high-consumption,Evening,0.25020000000,UK,W,3,0,2015
ser.hot-water.low-consumption,Evening,0.33230000000,UK,W,3,0,2015
nga,Night,12.47950000000,UK,P,4,12.552,2015
biomass,Night,11.84850000000,UK,P,4,10.019,2015
elc,Night,45.82250000000,UK,P,4,43.34267522,2015
oil,Night,19.79440000000,UK,P,4,19.7944343,2015
hco,Night,17.90350000000,UK,P,4,19.7944343,2015
lfo,Night,17.90350000000,UK,P,4,19.7944343,2015
wood,Night,11.84850000000,UK,P,4,10.019,2015
hydrogen,Night,105.01680000000,UK,P,4,105.016835,2015
pellets,Night,17.93240000000,UK,P,4,20.58703511,2015
ser.cooking,Night,1.44540000000,UK,P,4,0,2015
ser.computing,Night,21.36260000000,UK,P,4,0,2015
ser.space-heat.high-consumption,Night,6.92860000000,UK,P,4,0,2015
ser.space-heat.low-consumption,Night,0.35690000000,UK,P,4,0,2015
ser.lighting.office,Night,0.03960000000,UK,P,4,0,2015
ser.lighting.other,Night,0.02510000000,UK,P,4,0,2015
ser.other,Night,0.18360000000,UK,P,4,0,2015
ser.refrigeration,Night,4.02070000000,UK,P,4,0,2015
ser.hot-water.high-consumption,Night,0.37120000000,UK,P,4,0,2015
ser.hot-water.low-consumption,Night,0.48370000000,UK,P,4,0,2015
nga,Day,12.47950000000,UK,P,5,12.552,2015
biomass,Day,11.84850000000,UK,P,5,10.019,2015
elc,Day,45.82250000000,UK,P,5,43.34267522,2015
oil,Day,19.79440000000,UK,P,5,19.7944343,2015
hco,Day,17.90350000000,UK,P,5,19.7944343,2015
lfo,Day,17.90350000000,UK,P,5,19.7944343,2015
wood,Day,11.84850000000,UK,P,5,10.019,2015
hydrogen,Day,105.01680000000,UK,P,5,105.016835,2015
pellets,Day,17.93240000000,UK,P,5,20.58703511,2015
ser.cooking,Day,2.06490000000,UK,P,5,0,2015
ser.computing,Day,30.51800000000,UK,P,5,0,2015
ser.space-heat.high-consumption,Day,13.41870000000,UK,P,5,0,2015
ser.space-heat.low-consumption,Day,0.77410000000,UK,P,5,0,2015
ser.lighting.office,Day,0.05650000000,UK,P,5,0,2015
ser.lighting.other,Day,0.03590000000,UK,P,5,0,2015
ser.other,Day,0.26220000000,UK,P,5,0,2015
ser.refrigeration,Day,5.74380000000,UK,P,5,0,2015
ser.hot-water.high-consumption,Day,0.56210000000,UK,P,5,0,2015
ser.hot-water.low-consumption,Day,2.27820000000,UK,P,5,0,2015
nga,Peak,12.47950000000,UK,P,6,12.552,2015
biomass,Peak,11.84850000000,UK,P,6,10.019,2015
elc,Peak,45.82250000000,UK,P,6,43.34267522,2015
oil,Peak,19.79440000000,UK,P,6,19.7944343,2015
hco,Peak,17.90350000000,UK,P,6,19.7944343,2015
lfo,Peak,17.90350000000,UK,P,6,19.7944343,2015
wood,Peak,11.84850000000,UK,P,6,10.019,2015
hydrogen,Peak,105.01680000000,UK,P,6,105.016835,2015
pellets,Peak,17.93240000000,UK,P,6,20.58703511,2015
ser.computing,Peak,9.15540000000,UK,P,6,0,2015
ser.space-heat.high-consumption,Peak,2.48020000000,UK,P,6,0,2015
ser.space-heat.low-consumption,Peak,0.11870000000,UK,P,6,0,2015
ser.lighting.office,Peak,0.01700000000,UK,P,6,0,2015
ser.lighting.other,Peak,0.01080000000,UK,P,6,0,2015
ser.other,Peak,0.07870000000,UK,P,6,0,2015
ser.refrigeration,Peak,1.72310000000,UK,P,6,0,2015
ser.hot-water.high-consumption,Peak,0.12800000000,UK,P,6,0,2015
ser.hot-water.low-consumption,Peak,0.15150000000,UK,P,6,0,2015
nga,Evening,12.47950000000,UK,P,7,12.552,2015
biomass,Evening,11.84850000000,UK,P,7,10.019,2015
elc,Evening,45.82250000000,UK,P,7,43.34267522,2015
oil,Evening,19.79440000000,UK,P,7,19.7944343,2015
hco,Evening,17.90350000000,UK,P,7,19.7944343,2015
lfo,Evening,17.90350000000,UK,P,7,19.7944343,2015
wood,Evening,11.84850000000,UK,P,7,10.019,2015
hydrogen,Evening,105.01680000000,UK,P,7,105.016835,2015
pellets,Evening,17.93240000000,UK,P,7,20.58703511,2015
ser.cooking,Evening,0.82600000000,UK,P,7,0,2015
ser.computing,Evening,12.20720000000,UK,P,7,0,2015
ser.space-heat.high-consumption,Evening,3.82520000000,UK,P,7,0,2015
ser.space-heat.low-consumption,Evening,0.19770000000,UK,P,7,0,2015
ser.lighting.office,Evening,0.02260000000,UK,P,7,0,2015
ser.lighting.other,Evening,0.01440000000,UK,P,7,0,2015
ser.other,Evening,0.10490000000,UK,P,7,0,2015
ser.refrigeration,Evening,2.29750000000,UK,P,7,0,2015
ser.hot-water.high-consumption,Evening,0.25230000000,UK,P,7,0,2015
ser.hot-water.low-consumption,Evening,0.33230000000,UK,P,7,0,2015
nga,Night,12.47950000000,UK,S,8,12.552,2015
biomass,Night,11.84850000000,UK,S,8,10.019,2015
elc,Night,45.82250000000,UK,S,8,43.34267522,2015
oil,Night,19.79440000000,UK,S,8,19.7944343,2015
