commodity,consumption,period,region,season,timeslice,units_prices,year
nga,21.09360000000,Peak,UK,W,2,12.552,2015
bog,0.01230000000,Peak,UK,W,2,0,2015
biomass,0.01200000000,Peak,UK,W,2,10.019,2015
elc,19.28910000000,Peak,UK,W,2,43.34267522,2015
oil,0.34170000000,Peak,UK,W,2,19.7944343,2015
hco,3.19850000000,Peak,UK,W,2,19.7944343,2015
lfo,3.20700000000,Peak,UK,W,2,19.7944343,2015
wood,1.54680000000,Peak,UK,W,2,10.019,2015
ser.cooling.high-consumption,1.08650000000,Peak,UK,W,2,0,2015
ser.computing,0.50860000000,Peak,UK,W,2,0,2015
ser.space-heat.high-consumption,4.92970000000,Peak,UK,W,2,0,2015
ser.space-heat.low-consumption,3.31870000000,Peak,UK,W,2,0,2015
ser.lighting.office,10.46940000000,Peak,UK,W,2,0,2015
ser.lighting.other,4.72650000000,Peak,UK,W,2,0,2015
ser.other,1.42850000000,Peak,UK,W,2,0,2015
ser.refrigeration,3.68380000000,Peak,UK,W,2,0,2015
ser.hot-water.high-consumption,2.74970000000,Peak,UK,W,2,0,2015
ser.hot-water.low-consumption,1.19410000000,Peak,UK,W,2,0,2015
nga,14.47780000000,Evening,UK,W,3,12.552,2015
bog,0.00530000000,Evening,UK,W,3,0,2015
biomass,0.00520000000,Evening,UK,W,3,10.019,2015
elc,17.09770000000,Evening,UK,W,3,43.34267522,2015
oil,0.95730000000,Evening,UK,W,3,19.7944343,2015
hco,7.43390000000,Evening,UK,W,3,19.7944343,2015
lfo,2.91160000000,Evening,UK,W,3,19.7944343,2015
wood,1.46970000000,Evening,UK,W,3,10.019,2015
hydrogen,0.27770000000,Evening,UK,W,3,105.016835,2015
ser.cooling.high-consumption,1.62970000000,Evening,UK,W,3,0,2015
ser.cooking,3.25210000000,Evening,UK,W,3,0,2015
ser.computing,0.33900000000,Evening,UK,W,3,0,2015
ser.space-heat.high-consumption,9.20600000000,Evening,UK,W,3,0,2015
ser.space-heat.low-consumption,4.69390000000,Evening,UK,W,3,0,2015
ser.lighting.office,10.46940000000,Evening,UK,W,3,0,2015
ser.lighting.other,4.72650000000,Evening,UK,W,3,0,2015
ser.other,0.61220000000,Evening,UK,W,3,0,2015
ser.refrigeration,1.57880000000,Evening,UK,W,3,0,2015
ser.hot-water.high-consumption,2.04630000000,Evening,UK,W,3,0,2015
ser.hot-water.low-consumption,0.86320000000,Evening,UK,W,3,0,2015
nga,24.38640000000,Night,UK,P,4,12.552,2015
bog,0.01750000000,Night,UK,P,4,0,2015
biomass,0.01720000000,Night,UK,P,4,10.019,2015
elc,42.11990000000,Night,UK,P,4,43.34267522,2015
oil,1.64900000000,Night,UK,P,4,19.7944343,2015
hco,20.01520000000,Night,UK,P,4,19.7944343,2015
lfo,5.42690000000,Night,UK,P,4,19.7944343,2015
wood,2.59120000000,Night,UK,P,4,10.019,2015
hydrogen,0.55540000000,Night,UK,P,4,105.016835,2015
ser.cooling.high-consumption,14.30510000000,Night,UK,P,4,0,2015
ser.cooking,6.50430000000,Night,UK,P,4,0,2015
