technology,dst_region,region,installed,agent,sector,type,year,capacity
REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2030,Agent1,residential,newcapa,2040,27.50340000000
REAUDVIS01 [RES.CONSUMER-ELECTRONICS: .01.TV.DVD.SET-TOP-BOX.GAME-CONSOLE.],UK,UK,2035,Agent1,residential,newcapa,2040,27.66650000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2025,Agent1,residential,newcapa,2040,10.03020000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2030,Agent1,residential,newcapa,2040,9.21530000000
RECOLFRE00 [RES.FREEZERS: .00.],UK,UK,2035,Agent1,residential,newcapa,2040,9.23040000000
RECOLFRE01 [RES.FREEZERS: .01.CLASS-A+.],UK,UK,2025,Agent1,residential,newcapa,2040,8.98690000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2025,Agent1,residential,newcapa,2040,10.08400000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2030,Agent1,residential,newcapa,2040,10.02780000000
RECOLREF00 [RES.REFRIGERATORS: .00.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,UK,2025,Agent1,residential,newcapa,2040,32.95480000000
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,UK,2030,Agent1,residential,newcapa,2040,11.49450000000
RECOLREF01 [RES.REFRIGERATORS: .01.CLASS-A+.],UK,UK,2035,Agent1,residential,newcapa,2040,11.15400000000
RECOMPUT00 [RES.COMPUTERS: .00.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RECOMPUT01 [RES.COMPUTERS: .01.],UK,UK,2035,Agent1,residential,newcapa,2040,15.92850000000
RELITCON00 [RES.LIGHTING: .00.CONVENTIONAL.],UK,UK,2035,Agent1,residential,newcapa,2040,10.09110000000
RELITCON01 [RES.LIGHTING: .01.CONVENTIONAL.],UK,UK,2035,Agent1,residential,newcapa,2040,322.98690000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,UK,2030,Agent1,residential,newcapa,2040,10.23570000000
RELITENS00 [RES.LIGHTING: .00.ENERGY-SAVING.],UK,UK,2035,Agent1,residential,newcapa,2040,10.09110000000
RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],UK,UK,2030,Agent1,residential,newcapa,2040,592.70740000000
RELITENS01 [RES.LIGHTING: .01.ENERGY-SAVING.],UK,UK,2035,Agent1,residential,newcapa,2040,655.97370000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2015,Agent1,residential,newcapa,2040,10.35530000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2020,Agent1,residential,newcapa,2040,10.06450000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2025,Agent1,residential,newcapa,2040,10.20550000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2030,Agent1,residential,newcapa,2040,10.23570000000
RELITLED00 [RES.LIGHTING: .00.LED.],UK,UK,2035,Agent1,residential,newcapa,2040,10.09110000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2015,Agent1,residential,newcapa,2040,135.99670000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2020,Agent1,residential,newcapa,2040,159.21820000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2025,Agent1,residential,newcapa,2040,138.26360000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2030,Agent1,residential,newcapa,2040,140.67690000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2035,Agent1,residential,newcapa,2040,156.49340000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2010,Agent1,residential,newcapa,2040,6.12630000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2015,Agent1,residential,newcapa,2040,9.99950000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2020,Agent1,residential,newcapa,2040,2.97650000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2025,Agent1,residential,newcapa,2040,1.51070000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2030,Agent1,residential,newcapa,2040,2.15830000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2035,Agent1,residential,newcapa,2040,1.42540000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2010,Agent1,residential,newcapa,2040,0.26320000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2015,Agent1,residential,newcapa,2040,9.99950000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2020,Agent1,residential,newcapa,2040,2.97650000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2025,Agent1,residential,newcapa,2040,1.51070000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2030,Agent1,residential,newcapa,2040,2.15830000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2035,Agent1,residential,newcapa,2040,1.42540000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2025,Agent1,residential,newcapa,2040,10.00000000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2030,Agent1,residential,newcapa,2040,10.00000000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2025,Agent1,residential,newcapa,2040,15.66730000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2030,Agent1,residential,newcapa,2040,17.53220000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2035,Agent1,residential,newcapa,2040,13.63400000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2020,Agent1,residential,newcapa,2040,474.71580000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2025,Agent1,residential,newcapa,2040,90.41050000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2030,Agent1,residential,newcapa,2040,205.04230000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2035,Agent1,residential,newcapa,2040,91.83860000000
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.],UK,UK,2010,Agent1,residential,newcapa,2040,838.99750000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2040,66.48630000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2040,12.20610000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2040,10.00000000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2040,10.00000000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2035,Agent1,residential,newcapa,2040,10.00000000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2040,474.71580000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2040,90.41050000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2040,205.04230000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2035,Agent1,residential,newcapa,2040,91.83860000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2040,77.09950000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2015,Agent1,residential,newcapa,2040,77.08130000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2040,2.76590000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2040,69.15970000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2040,65.05920000000
RHNASA01 [RES.HEAT.NEW-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2035,Agent1,residential,newcapa,2040,64.95640000000
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2010,Agent1,residential,newcapa,2040,217.85630000000
RWEACSV01 [RES.WATER.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2020,Agent1,residential,newcapa,2040,0.18450000000
