ProcessName,2010,2015,2020,2025,2030,2035,2040,2045,2050,RegionName,Unit
RHEASTGNT00 [RES.HEAT.EXISTING-AVERAGE .00.ELC.NIGHT-STORAGE.HEAT-SUPPLY.]; RHEASTGNT01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],864.669178375903,648.5018837819273,324.25094189096365,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHEAUND01 [RES.HEAT.EXISTING-AVERAGE: .01.HTP.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAAHBRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.RADIATOR.]; RHNAAHBUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAAHHRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.HDG.BOILER.RADIATOR.]; RHNAAHHUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.HDG.BOILER.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAAHPRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.RADIATOR.]; RHNAAHPUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNAAHSRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.RADIATOR.]; RHNAAHSUE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.AIR.SOLAR-THERMAL.UNDERFLOOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLCRG01 [RES.HEAT.NEW-AVERAGE: .01.NGA.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLCRH01 [RES.HEAT.NEW-AVERAGE: .01.HDG.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLCRO01 [RES.HEAT.NEW-AVERAGE: .01.KER.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLCRP01 [RES.HEAT.NEW-AVERAGE: .01.PEL.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
RHNABLRRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.BOILER.CON.RADIATOR.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UK,PJ/y
