commodity,period,prices,region,season,timeslice,units_prices,year
hco,Night,17.90350000000,UK,W,0,19.7944343,2015
wood,Night,11.84850000000,UK,W,0,10.019,2015
hydrogen,Night,105.01680000000,UK,W,0,105.016835,2015
biomass,Night,11.84850000000,UK,W,0,10.019,2015
kerosene,Night,13.98540000000,UK,W,0,18.21616657,2015
pellets,Night,17.93240000000,UK,W,0,20.58703511,2015
res.cooking.other,Night,1.17680000000,UK,W,0,0,2015
res.cooking.hobs,Night,2.30530000000,UK,W,0,0,2015
res.cooking.ovens,Night,2.27130000000,UK,W,0,0,2015
res.consumer-electronics.tv,Night,6.19360000000,UK,W,0,0,2015
res.freezers,Night,1.98350000000,UK,W,0,0,2015
res.computers,Night,15.42860000000,UK,W,0,0,2015
res.refrigerators,Night,3.18730000000,UK,W,0,0,2015
res.lighting,Night,0.01440000000,UK,W,0,0,2015
res.wet.appliances,Night,13.17480000000,UK,W,0,0,2015
res.space-heat.existing-average,Night,0.65660000000,UK,W,0,0,2015
res.hot-water.existing-average,Night,0.02960000000,UK,W,0,0,2015
elc,Day,45.82250000000,UK,W,1,43.34267522,2015
nga,Day,12.47950000000,UK,W,1,12.552,2015
oil,Day,19.79440000000,UK,W,1,19.7944343,2015
hco,Day,17.90350000000,UK,W,1,19.7944343,2015
wood,Day,11.84850000000,UK,W,1,10.019,2015
hydrogen,Day,105.01680000000,UK,W,1,105.016835,2015
biomass,Day,11.84850000000,UK,W,1,10.019,2015
kerosene,Day,13.98540000000,UK,W,1,18.21616657,2015
pellets,Day,17.93240000000,UK,W,1,20.58703511,2015
res.cooking.other,Day,1.68110000000,UK,W,1,0,2015
res.cooking.hobs,Day,3.29330000000,UK,W,1,0,2015
res.cooking.ovens,Day,3.24480000000,UK,W,1,0,2015
res.consumer-electronics.tv,Day,8.84800000000,UK,W,1,0,2015
res.freezers,Day,2.83350000000,UK,W,1,0,2015
res.computers,Day,22.04080000000,UK,W,1,0,2015
res.refrigerators,Day,4.55330000000,UK,W,1,0,2015
res.lighting,Day,0.02050000000,UK,W,1,0,2015
res.wet.appliances,Day,18.82110000000,UK,W,1,0,2015
res.space-heat.existing-average,Day,0.76740000000,UK,W,1,0,2015
res.hot-water.existing-average,Day,0.24360000000,UK,W,1,0,2015
